,name,id,stage,year
226,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Coachella Stage,2002
227,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,Coachella Stage,2002
228,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,Sahara Tent,2005
229,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Coachella Stage,2002
230,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Coachella Stage,2002
231,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Coachella Stage,2011
232,Saves the Day,5gWhlJBlLQGLOgYWO8lwCU,Coachella Stage,2002
233,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,Outdoor Theatre,2002
234,Zero 7,14H7ag1wpQOsPPQJOD6Dqr,Outdoor Theatre,2002
235,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Outdoor Theatre,2002
236,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Coachella Stage,2004
237,Galactic,4GwyYAQXedw9Rf6R5lPqiG,Mojave Tent,2002
238,Triple Threat,5uR44sF6mFW8uaYQrVrMrJ,Mojave Tent,2002
239,Herbert,5zCaQxjl110XTrm4LQ1CxY,Mojave Tent,2002
240,Cut Chemist,4743DlrFCsAlAV4N26Kdgh,Mojave Tent,2002
241,The Mars Volta,75U40yZLLPglFgXbDVnmVs,Mojave Tent,2002
242,The Mars Volta,75U40yZLLPglFgXbDVnmVs,Coachella Stage,2003
243,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Mojave Tent,2002
244,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Mojave Tent,2011
245,Fairview,26HhAGEjD8E9u9EFsVzbvy,Mojave Tent,2002
246,Wagner,1C1x4MVkql8AiABuTw6DgE,Mojave Tent,2002
247,Pete Tong,6n1t55WMsSIUFHrAL4mUsB,Sahara Tent,2002
248,Pete Tong,6n1t55WMsSIUFHrAL4mUsB,Yuma Tent,2013
249,Pete Tong,6n1t55WMsSIUFHrAL4mUsB,Yuma Tent,2015
250,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Sahara Tent,2002
251,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Coachella Stage,2007
252,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Coachella Stage,2010
253,DJ Peretz,6MRgVSEuvOMYh2BrQRrZKX,Sahara Tent,2002
254,DJ Peretz,6MRgVSEuvOMYh2BrQRrZKX,Sahara Tent,2004
255,DJ Peretz,6MRgVSEuvOMYh2BrQRrZKX,Sahara Tent,2005
256,DJ Dan,5L7I1yyPVfSMd9Ppdsdj4o,Sahara Tent,2002
257,Bad Boy Bill,2GYDdjFOEdHrdLh50r5iFQ,Sahara Tent,2002
258,Sandra Collins,1Wkm5Jz5ZmVSE4idjPOfJp,Sahara Tent,2002
259,Sandra Collins,1Wkm5Jz5ZmVSE4idjPOfJp,Sahara Tent,2008
260,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Coachella Stage,2003
261,Ben Harper & the Innocent Criminals,7sJ9LR0mCMgFlzJ6Y9xP64,Coachella Stage,2003
262,Blur,7MhMgCo0Bl0Kukl93PZbYS,Coachella Stage,2003
263,Blur,7MhMgCo0Bl0Kukl93PZbYS,Coachella Stage,2013
264,The Hives,4DToQR3aKrHQSSRzSz8Nzt,Coachella Stage,2003
265,The Hives,4DToQR3aKrHQSSRzSz8Nzt,Coachella Stage,2012
266,The Donnas,2c0qomdZabcCyqTZ5M9msd,Coachella Stage,2003
267,The Mooney Suzuki,4E5nnaQxGmUQCQeuGrXsql,Coachella Stage,2003
268,Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Outdoor Theatre,2003
269,Blue Man Group,7zHhscQ9kdR9fNGAffWz6z,Outdoor Theatre,2003
270,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Outdoor Theatre,2003
271,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,Outdoor Theatre,2003
272,Michael Franti,1mHuZMOP8FG5ip4yAb1vrB,Outdoor Theatre,2003
273,Michael Franti,1mHuZMOP8FG5ip4yAb1vrB,Gobi Tent,2003
274,Kinky,4WOIfFwyvx22jM0eg2fpKv,Outdoor Theatre,2003
275,Kinky,4WOIfFwyvx22jM0eg2fpKv,Coachella Stage,2004
276,Ben Kweller,7bhMBjjQhgPX0q9S4Ajncn,Outdoor Theatre,2003
277,Joseph Arthur,5aD0uh1BpYTN7AzhiSDgaO,Outdoor Theatre,2003
278,Particle,2Ol6nr2IZ1Jqs1scycbjLZ,Outdoor Theatre,2003
279,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Sahara Tent,2003
280,Masters at Work,5Fkj0k7EPUhIsESSIEA9f1,Sahara Tent,2003
281,Marques Wyatt,2Jk7qucsiK8zBMDpwpIdos,Sahara Tent,2003
282,Darren Emerson,2vePaJjwrZ6zVLAxf6UrCy,Sahara Tent,2003
283,Felix da Housecat,4rC8J4M4aOqsQSCP4yoyJI,Sahara Tent,2003
284,Felix da Housecat,4rC8J4M4aOqsQSCP4yoyJI,Sahara Tent,2009
285,Hernán Cattáneo,4mpJaw5y17CIN08qqe8EfB,Sahara Tent,2003
286,Hernán Cattáneo,4mpJaw5y17CIN08qqe8EfB,Sahara Tent,2005
287,D:Fuse,0tJWNfrj8YdGsouHyBYlUa,Sahara Tent,2003
288,The Libertines,4fSPtBgFPZzygkY6MehwQ7,Mojave Tent,2003
289,Ladytron,0ucLPotcQNI7AViFytdhBz,Mojave Tent,2003
290,Ladytron,0ucLPotcQNI7AViFytdhBz,Mojave Tent,2006
291,The Music,1gV480zBnPy4ktKHfHKxZ5,Mojave Tent,2003
292,Hot Hot Heat,33LSz2nhC8pCPTb3pd5add,Mojave Tent,2003
293,Badly Drawn Boy,244fcyNSuyhbRlMGfMbYrO,Mojave Tent,2003
294,The Rapture,166Dz1GX3xonSQ3Z6CQW26,Mojave Tent,2003
295,The Rapture,166Dz1GX3xonSQ3Z6CQW26,Outdoor Theatre,2004
296,The Rapture,166Dz1GX3xonSQ3Z6CQW26,Sahara Tent,2007
297,The Rapture,166Dz1GX3xonSQ3Z6CQW26,Mojave Tent,2012
298,Idlewild,1xdB9gS1NrKEYgZUEfoqIw,Mojave Tent,2003
299,South,4kKaAWGdu6WW0W415RWaQA,Mojave Tent,2003
300,Stereo Total,662bj9rCw8Twt6JDAMmMDb,Gobi Tent,2003
301,Tha Liks,4iuyDOnAmE11mVV4aRkLoI,Gobi Tent,2003
302,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Coachella Stage,2003
303,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Coachella Stage,2007
304,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Coachella Stage,2013
305,Iggy and the Stooges,1FbrKRver8Lw1Wo9HHE6ag,Coachella Stage,2003
306,The White Stripes,4F84IBURUo98rz4r61KF70,Coachella Stage,2003
307,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Coachella Stage,2003
308,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Outdoor Theatre,2007
309,The Polyphonic Spree,0inqWv3OS4VpWt691ki8yk,Coachella Stage,2003
310,The Soundtrack of Our Lives,1DoYbXxolkSNTovBmuG0C2,Coachella Stage,2003
311,Whirlwind Heat,2sbezLPzGZD19rN50VhuQj,Coachella Stage,2003
312,Interpol,3WaJSfKnzc65VDgmj2zU8B,Outdoor Theatre,2003
313,Interpol,3WaJSfKnzc65VDgmj2zU8B,Coachella Stage,2007
314,Interpol,3WaJSfKnzc65VDgmj2zU8B,Coachella Stage,2011
315,Interpol,3WaJSfKnzc65VDgmj2zU8B,Coachella Stage,2015
316,Primal Scream,3wury2nd8idV4GecUg5xze,Outdoor Theatre,2003
317,Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,Outdoor Theatre,2003
318,Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,Outdoor Theatre,2005
319,Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,Coachella Stage,2008
